attribute,id,parent,notation,label,definition
Location of oximorphic and reductimorphic features,OIM,,OIM,Inside soil aggregates: masses,
Location of oximorphic and reductimorphic features,OIN,,OIN,Inside soil aggregates: nodules,
Location of oximorphic and reductimorphic features,OOA,,OOA,On surfaces of soil aggregates,
Location of oximorphic and reductimorphic features,OOE,,OOE,"On biopore walls, lining the entire wall surface",
Location of oximorphic and reductimorphic features,OOH,,OOH,"Adjacent to surfaces of soil aggregates, infused into the matrix (hypocoats)",
Location of oximorphic and reductimorphic features,OOI,,OOI,"Adjacent to biopores, infused into the matrix (hypocoats)",
Location of oximorphic and reductimorphic features,OON,,OON,"On biopore walls, not lining the entire wall surface",
Location of oximorphic and reductimorphic features,ORN,,ORN,"Distributed over the layer, no order visible",
Location of oximorphic and reductimorphic features,ORS,,ORS,"Distributed over the layer, surrounding areas with reductimorphic features",
Location of oximorphic and reductimorphic features,ORT,,ORT,Throughout,
Location of oximorphic and reductimorphic features,RIA,,RIA,Inside soil aggregates,
Location of oximorphic and reductimorphic features,ROA,,ROA,Outer parts of soil aggregates,
Location of oximorphic and reductimorphic features,ROE,,ROE,"Around biopores, surrounding the entire pores",
Location of oximorphic and reductimorphic features,RON,,RON,"Around biopores, not surrounding the entire pores",
Location of oximorphic and reductimorphic features,RRN,,RRN,"Distributed over the layer, no order visible",
Location of oximorphic and reductimorphic features,RRS,,RRS,"Distributed over the layer, surrounding areas with oximorphic features",
Location of oximorphic and reductimorphic features,RRT,,RRT,Throughout,
Moisture class,DR,,DR,Dry,
Moisture class,MO,,MO,Moist,
Moisture class,SM,,SM,Slightly moist,
Moisture class,VD,,VD,Very dry,
Moisture class,WE,,WE,Wet,
Natural surface unevenness,G,,G,Unevenness caused by shrink-swell clays (gilgai relief),
Natural surface unevenness,N,,N,None,
Natural surface unevenness,O,,O,Other,
Natural surface unevenness,P,,P,"Unevenness caused by permafrost (palsa, pingo, mud boils, thufurs etc.)",
"Organic (hydromorphic and terrestrial), organotechnic and mineral layers",M,,M,Mineral,
"Organic (hydromorphic and terrestrial), organotechnic and mineral layers",OH,,OH,Organic hydromorphic,
"Organic (hydromorphic and terrestrial), organotechnic and mineral layers",OT,,OT,Organic terrestrial,
"Organic (hydromorphic and terrestrial), organotechnic and mineral layers",TH,,TH,Organotechnic hydromorphic,
"Organic (hydromorphic and terrestrial), organotechnic and mineral layers",TT,,TT,Organotechnic terrestrial,
Organic matter coatings and oxide coatings on sand and/or coarse silt grains,A,,A,All sand and coarse silt grains coated without cracks,
Organic matter coatings and oxide coatings on sand and/or coarse silt grains,C,,C,Cracked coatings on sand grains,
Organic matter coatings and oxide coatings on sand and/or coarse silt grains,U,,U,Uncoated sand and/or coarse silt grains,
Packing density,FR,,FR,Firm,Only the knifepoint penetrates when forces are applied
Packing density,IN,,IN,Intermediate,Knife penetrates half when forces are applied
Packing density,LO,,LO,Loose,Knife penetrates completely when forces are applied
Packing density,VL,,VL,Very loose,Knife penetrates completely even when applying low forces
Packing density,VR,,VR,Very firm,Knife does not (or only a little bit) penetrate when forces are applied
Past weather conditions,ND,,ND,No rain in the last 24 hours,
Past weather conditions,NM,,NM,No rain in the last month,
Past weather conditions,NW,,NW,No rain in the last week,
Past weather conditions,RD,,RD,Rain but no heavy rain in the last 24 hours,
Past weather conditions,RE,,RE,Extremely rainy or snow melting,
Past weather conditions,RH,,RH,Heavy rain for some days or excessive rain in the last 24 hours,
Patterned ground,N,,N,None,
Patterned ground,P,,P,Polygons,
Patterned ground,R,,R,Rings,
Patterned ground,S,,S,Stripes,
Persistance of surface cracks,I,,I,"Irreversible (persist year-round, e.g., drained polder cracks, cracks in cemented layers)",
Persistance of surface cracks,R,,R,"Reversible (open and close with changing moisture, e.g., in Vertisols and in soils with the Vertic or the Protovertic qualifier)",
Pore size,CO,,CO,Coarse,
Pore size,FI,,FI,Fine,
Pore size,ME,,ME,Medium,
Pore size,VC,,VC,Very Coarse,
Pore size,VF,,VF,Very Fine,
"Position of the soil profile, if the soil surface is uneven",E,,E,On an unaffected surface,
"Position of the soil profile, if the soil surface is uneven",H,,H,On the high,
"Position of the soil profile, if the soil surface is uneven",L,,L,In the low,
"Position of the soil profile, if the soil surface is uneven",S,,S,On the slope,
Potentiometric pH measurement,C15,,C15,"CaCl2, 0.01 M",Mixing ratio 1:5
Potentiometric pH measurement,K15,,K15,"KCl, 1 M",Mixing ratio 1:5
Potentiometric pH measurement,W11,,W11,Distilled water (H2O),Mixing ratio 1:1
Potentiometric pH measurement,W15,,W15,Distilled water (H2O),Mixing ratio 1:5
Presence of strata within a layer,A,,A,Layer is composed of two or more alluvial strata,
Presence of strata within a layer,B,,B,Layer is composed of two or more alluvial strata containing tephra,
Presence of strata within a layer,N,,N,Layer is not composed of different strata,
Presence of strata within a layer,T,,T,Layer is composed of two or more tephra strata,
Profile Position,BS,,BS,Backslope,
Profile Position,EB,,EB,Endorheic basin,
Profile Position,FS,,FS,Footslope,
Profile Position,OB,,OB,Basin with outflow,
Profile Position,SH,,SH,Shoulder,
Profile Position,SU,,SU,Summit,
Profile Position,TS,,TS,Toeslope,
Profile Position,VB,,VB,Valley bottom,
Ranges of rH values,R1,,R1,<10,Methane formation
Ranges of rH values,R2,,R2,okt-13,Sulfide formation
Ranges of rH values,R3,,R3,13 - 20,Formation of FeII/FeIII oxides (green rust)
Ranges of rH values,R4,,R4,temporally < 20,Redox reactions of Fe
Ranges of rH values,R5,,R5,temporally 20 - 29,Redox reactions of Mn
Ranges of rH values,R6,,R6,"> 33, 29 - 33",Strongly aerated
Remnants of broken-up cemented layers: cementing agent,CA,,CA,Secondary carbonates,
Remnants of broken-up cemented layers: cementing agent,FH,,FH,Fe oxides in the presence of a significant concentration of organic matter,
Remnants of broken-up cemented layers: cementing agent,FI,,FI,"Fe oxides, predominantly inside (former) soil aggregates, no significant concentration of organic matter",
Remnants of broken-up cemented layers: cementing agent,FN,,FN,"Fe oxides, no relationship to (former) soil aggregates, no significant concentration of organic matter",
Remnants of broken-up cemented layers: cementing agent,FO,,FO,"Fe oxides, predominantly on the surfaces of (former) soil aggregates, no significant concentration of organic matter",
Remnants of broken-up cemented layers: cementing agent,GY,,GY,Secondary gypsum,
Remnants of broken-up cemented layers: cementing agent,SI,,SI,Secondary silica,
Retarded reaction with HCl,H,,H,Reaction with 1 M HCl only after heating,
Retarded reaction with HCl,I,,I,Reaction with 1 M HCl immediate,
Rupture resistence class dry,EH,,EH,Extremely hard,
Rupture resistence class dry,HA,,HA,Hard,
Rupture resistence class dry,LO,,LO,Loose,
Rupture resistence class dry,MH,,MH,Moderately hard,
Rupture resistence class dry,RI,,RI,Rigid,
Rupture resistence class dry,SH,,SH,Slightly hard,
Rupture resistence class dry,SO,,SO,Soft,
Rupture resistence class dry,VH,,VH,Very hard,
Rupture resistence class dry,VR,,VR,Very rigid,
Rupture resistence class moist,EI,,EI,Extremely firm,
Rupture resistence class moist,FI,,FI,Firm,
Rupture resistence class moist,FR,,FR,Friable,
Rupture resistence class moist,LO,,LO,Loose,
Rupture resistence class moist,RI,,RI,Rigid,
Rupture resistence class moist,SR,,SR,Slightly rigid,
Rupture resistence class moist,VF,,VF,Very friable,
Rupture resistence class moist,VI,,VI,Very firm,
Rupture resistence class moist,VR,,VR,Very rigid,
Sealing agent of surface crusts,BA,,BA,"Biological, by algae",
Sealing agent of surface crusts,BC,,BC,"Biological, by cyanobacteria",
Sealing agent of surface crusts,BF,,BF,"Biological, by fungi",
Sealing agent of surface crusts,BL,,BL,"Biological, by lichens",
Sealing agent of surface crusts,BM,,BM,"Biological, by mosses",
Sealing agent of surface crusts,CC,,CC,"Chemical, by carbonates",
Sealing agent of surface crusts,CG,,CG,"Chemical, by gypsum",
Sealing agent of surface crusts,CR,,CR,"Chemical, by readily soluble salts",
Sealing agent of surface crusts,CS,,CS,"Chemical, by silica",
Sealing agent of surface crusts,NO,,NO,No crust present,
Sealing agent of surface crusts,PD,,PD,"Physical, only when dry",
Sealing agent of surface crusts,PP,,PP,"Physical, permanent",
Season of description,AU,,AU,Autumn,
Season of description,DS,,DS,Dry season,
Season of description,NS,,NS,No significant seasonality for plant growth,
Season of description,SP,,SP,Spring,
Season of description,SU,,SU,Summer,
Season of description,WI,,WI,Winter,
Season of description,WS,,WS,Wet season,
Shape of layer boundaries,B,,B,Broken,Discontinuous
Shape of layer boundaries,I,,I,Irregular,Pockets more deep than wide
Shape of layer boundaries,S,,S,Smooth,Nearly plane surface
Shape of layer boundaries,W,,W,Wavy,Pockets less deep than wide
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,BA,,BA,Boulders,Angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,BB,,BB,Boulders,Rounded and angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,BR,,BR,Boulders,Rounded
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,CA,,CA,Coarse gravel,Angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,CB,,CB,Coarse gravel,Rounded and angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,CR,,CR,Coarse gravel,Rounded
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,FA,,FA,Fine gravel,Angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,FB,,FB,Fine gravel,Rounded and angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,FR,,FR,Fine gravel,Rounded
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,LA,,LA,Large boulders,Angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,LB,,LB,Large boulders,Rounded and angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,LR,,LR,Large boulders,Rounded
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,MA,,MA,Medium gravel,Angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,MB,,MB,Medium gravel,Rounded and angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,MR,,MR,Medium gravel,Rounded
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,NO,,NO,None,
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,SA,,SA,Stones,Angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,SB,,SB,Stones,Rounded and angular
Size and shape classes of coarse fragments and of remnants of broken-up cemented layers,SR,,SR,Stones,Rounded
Size of artefacts,B,,B,Boulders,> 20 - 60
Size of artefacts,C,,C,Coarse gravel,> 2 - 6
Size of artefacts,E,,E,Fine earth,≤ 0.2
Size of artefacts,F,,F,Fine gravel,> 0.2 - 0.6
Size of artefacts,L,,L,Large boulders,> 60
Size of artefacts,M,,M,Medium gravel,> 0.6 - 2
Size of artefacts,S,,S,Stones,> 6 - 20
Size of durinodes and remnants of a layer that has been cemented by secondary silica,CO,,CO,Coarse,
Size of durinodes and remnants of a layer that has been cemented by secondary silica,FI,,FI,Fine,
Size of durinodes and remnants of a layer that has been cemented by secondary silica,ME,,ME,Medium,
Size of durinodes and remnants of a layer that has been cemented by secondary silica,VC,,VC,Very coarse,
Size of durinodes and remnants of a layer that has been cemented by secondary silica,VF,,VF,Very fine,
Size of lithogenic variegates,C,,C,Coarse,
Size of lithogenic variegates,F,,F,Fine,
Size of lithogenic variegates,M,,M,Medium,
Size of lithogenic variegates,V,,V,Very fine,
Size of oximorphic features,CO,,CO,Coarse,
Size of oximorphic features,FI,,FI,Fine,
Size of oximorphic features,ME,,ME,Medium,
Size of oximorphic features,VC,,VC,Very coarse,
Size of oximorphic features,VF,,VF,Very fine,
Slope Shape,CC,,CC,convex/convex,
Slope Shape,CL,,CL,convex/linear,
Slope Shape,CV,,CV,concave/convex,
Slope Shape,LC,,LC,linear/convex,
Slope Shape,LL,,LL,linear/linear,
Slope Shape,LV,,LV,linear/concave,
Slope Shape,VC,,VC,concave/convex,
Slope Shape,VL,,VL,concave/linear,
Slope Shape,VV,,VV,concave/concave,
Spatial arrangement of surface cracks,N,,N,Non-polygonal,
Spatial arrangement of surface cracks,P,,P,Polygonal,
Special techniques to enhance site productivity,CW,,CW,Wet cultivation,
Special techniques to enhance site productivity,DC,,DC,Drainage by open canals,
Special techniques to enhance site productivity,DU,,DU,Underground drainage,
Special techniques to enhance site productivity,HT,,HT,Human-made terraces,
Special techniques to enhance site productivity,IR,,IR,Irrigation,
Special techniques to enhance site productivity,LO,,LO,Local raise of land surface,
Special techniques to enhance site productivity,NO,,NO,None,
Special techniques to enhance site productivity,OT,,OT,Other,
Special techniques to enhance site productivity,RB,,RB,Raised beds,
Subdivisions of the Oa horizon,CO,,CO,Compact,Breaks into longitudinal pieces with unsharp edges
Subdivisions of the Oa horizon,CR,,CR,Crumbly,Breaks into crumbly pieces or breaks powdery
Subdivisions of the Oa horizon,SE,,SE,Sharp-edged,Breaks into longitudinal pieces with sharp edges
Substance of oximorphic and reductimorphic features,AS,,AS,Fe and Al sulfates (not specified),
Substance of oximorphic and reductimorphic features,FE,,FE,Fe oxides,
Substance of oximorphic and reductimorphic features,FM,,FM,Fe and Mn oxides,
Substance of oximorphic and reductimorphic features,FS,,FS,Fe sulfides,
Substance of oximorphic and reductimorphic features,JA,,JA,Jarosite,
Substance of oximorphic and reductimorphic features,MN,,MN,Mn oxides,
Substance of oximorphic and reductimorphic features,NV,,NV,No visible accumulation,
